"year","category","birthyear","gender","name"
"1960","peace","1898","M","Albert Lutuli"
"1977","literature","1898","M","Vicente Aleixandre"
"1963","chemistry","1898","M","Karl Ziegler"
"1954","literature","1899","M","Ernest Hemingway"
"1968","literature","1899","M","Yasunari Kawabata"
"1953","medicine","1899","M","Fritz Lipmann"
"1948","medicine","1899","M","Paul Müller"
"1967","literature","1899","M","Miguel Asturias"
"1974","medicine","1899","M","Albert Claude"
"1977","economics","1899","M","Bertil Ohlin"
"1951","medicine","1899","M","Max Theiler"
"1953","medicine","1900","M","Hans Krebs"
"1945","physics","1900","M","Wolfgang Pauli"
"1971","physics","1900","M","Dennis Gabor"
"1967","medicine","1900","M","Ragnar Granit"
"1938","chemistry","1900","M","Richard Kuhn"
"1974","literature","1900","M","Eyvind Johnson"
"1938","physics","1901","M","Enrico Fermi"
"1939","physics","1901","M","Ernest Lawrence"
"1971","economics","1901","M","Simon Kuznets"
"1984","literature","1901","M","Jaroslav Seifert"
"1954","chemistry","1901","M","Linus Pauling"
"1959","literature","1901","M","Salvatore Quasimodo"
"1966","medicine","1901","M","Charles Huggins"
"1932","physics","1901","M","Werner Heisenberg"
"1978","literature","1902","M","Isaac Singer"
"1963","physics","1902","M","Eugene Wigner"
"1979","economics","1902","M","Theodore Schultz"
"1955","literature","1902","M","Halldór Laxness"
"1933","physics","1902","M","Paul Dirac"
"1950","chemistry","1902","M","Kurt Alder"
"1983","medicine","1902","F","Barbara McClintock"
"1948","chemistry","1902","M","Arne Tiselius"
"1966","physics","1902","M","Alfred Kastler"
"1956","physics","1902","M","Walter Brattain"
"1982","peace","1902","F","Alva Myrdal"
"1965","medicine","1902","M","André Lwoff"
"1962","literature","1902","M","John Steinbeck"
"1951","physics","1903","M","Ernest Walton"
"1967","medicine","1903","M","Haldan Hartline"
"1973","medicine","1903","M","Konrad Lorenz"
"1968","chemistry","1903","M","Lars Onsager"
"1969","economics","1903","M","Jan Tinbergen"
"1950","peace","1903","M","Ralph Bunche"
"1980","medicine","1903","M","George Snell"
"1958","medicine","1903","M","George Beadle"
"1963","chemistry","1903","M","Giulio Natta"
"1939","chemistry","1903","M","Adolf Butenandt"
"1970","physics","1904","M","Louis Néel"
"1958","physics","1904","M","Pavel Cherenkov"
"1974","literature","1904","M","Harry Martinson"
"1972","economics","1904","M","John Hicks"
